X,Y,OBJECTID,id,公園名,駐車場名,親施設ID,親施設名称,経度,緯度,電話番号,ＦＡＸ番号,メールアドレス,開所時間_Mo_Tu_We_Th_Fr,開所時間_Sa_Su,料金,料金_1,利用交通機関,収容台数_普通車,収容台数_大型,備考_管理者,備考,リンク,更新日
139.621626000000106,35.362887999109184,1,D7001,富岡西公園,,P7009,富岡西公園,139.621626,35.362888,045-309-2228,,,24時間,24時間,2時間300円以降20分50円,,,32,,（財）横浜市緑の協会,,http://park.hama-midorinokyokai.or.jp/parking-details/tomiokanishi-parking,2013-04-01T00:00:00.000Z
139.63475,35.329049999109579,2,D7002,野島公園,第１駐車場,P7007,野島公園,139.63475,35.32905,045-784-5267,,,7:00～23:00,7:00～23:00,1時間200円以降30分100円,,,104,,（財）横浜市緑の協会,,http://www2.nojima-park.org/access/,2013-04-01T00:00:00.000Z
139.633681,35.329708999109542,3,D7003,野島公園,第２駐車場,P7007,野島公園,139.633681,35.329709,045-784-5267,,,7:00～23:00,7:00～23:00,1時間200円以降30分100円,,,52,,（財）横浜市緑の協会,,http://www2.nojima-park.org/access/,2013-04-01T00:00:00.000Z
